 PedCrashID,crashalcoh,excsspdind,ped_pos,drvr_injur,hit_run,drvr_estsp,exceedSpeed, speed_limi
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='6-10 mph', PedCrashID=38, exceedSpeed=-15, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Paved Shoulder / Bike Lane / Parking Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='26-30 mph', PedCrashID=39, exceedSpeed=-5, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='21-25 mph', PedCrashID=40, exceedSpeed=-10, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='Unknown Injury', hit_run='Yes', drvr_estsp='0-5 mph', PedCrashID=41, exceedSpeed=-20, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='Yes', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='16-20 mph', PedCrashID=42, exceedSpeed=-5, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Other / Unknown', drvr_injur='Unknown Injury', hit_run='Yes', drvr_estsp='41-45 mph', PedCrashID=43, exceedSpeed=0, speed_limi=40 - 45  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='21-25 mph', PedCrashID=44, exceedSpeed=-30, speed_limi=50 - 55  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Paved Shoulder / Bike Lane / Parking Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='Unknown', PedCrashID=45, exceedSpeed=-1, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='Unknown', PedCrashID=46, exceedSpeed=-1, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Sidewalk / Shared Use Path / Driveway Crossing', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='31-35 mph', PedCrashID=47, exceedSpeed=0, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Driveway / Alley', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=48, exceedSpeed=-20, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Sidewalk / Shared Use Path / Driveway Crossing', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=49, exceedSpeed=-10, speed_limi=5 - 15 MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='Unknown Injury', hit_run='Yes', drvr_estsp='0-5 mph', PedCrashID=50, exceedSpeed=-30, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=51, exceedSpeed=-20, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=52, exceedSpeed=-30, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='6-10 mph', PedCrashID=53, exceedSpeed=-25, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='Unknown', PedCrashID=54, exceedSpeed=-1, speed_limi=Unknown}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='16-20 mph', PedCrashID=55, exceedSpeed=5, speed_limi=5 - 15 MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='6-10 mph', PedCrashID=56, exceedSpeed=-15, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='6-10 mph', PedCrashID=57, exceedSpeed=-25, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='Unknown', PedCrashID=58, exceedSpeed=-1, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='Unknown Injury', hit_run='Yes', drvr_estsp='6-10 mph', PedCrashID=59, exceedSpeed=-5, speed_limi=5 - 15 MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=60, exceedSpeed=-20, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='Unknown', PedCrashID=61, exceedSpeed=-1, speed_limi=Unknown}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='16-20 mph', PedCrashID=62, exceedSpeed=-5, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='6-10 mph', PedCrashID=63, exceedSpeed=-15, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='Yes', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='Yes', drvr_estsp='21-25 mph', PedCrashID=64, exceedSpeed=0, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='11-15 mph', PedCrashID=65, exceedSpeed=-10, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Driveway / Alley', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=66, exceedSpeed=-20, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='Unknown Injury', hit_run='Yes', drvr_estsp='31-35 mph', PedCrashID=67, exceedSpeed=10, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=68, exceedSpeed=-20, speed_limi=20 - 25  MPH}
